id,state,county,areaname,1900,1910,1920,1930,1940,1950,1960,1970
,Alaska Territory,Northern District,Northern District,60,0,1703,1590,0,5772,fill
21209,Kentucky,Scott,Scott,4044,3059,2511,2124,1772,1771,1653
17131,Illinois,Mercer,Mercer,34,24,14,5,16,18,0
21203,Kentucky,Rockcastle,Rockcastle,125,70,75,29,11,2,10
17133,Illinois,Monroe,Monroe,13,18,3,11,6,1,6
21201,Kentucky,Robertson,Robertson,70,52,46,40,31,18,0
17135,Illinois,Montgomery,Montgomery,238,257,235,199,210,137,37
21207,Kentucky,Russell,Russell,207,225,224,240,153,142,39
17137,Illinois,Morgan,Morgan,1361,1232,1127,1151,1044,1192,1042
21205,Kentucky,Rowan,Rowan,59,22,27,16,9,25,201
21199,Kentucky,Pulaski,Pulaski,1187,976,861,814,777,622,593
21193,Kentucky,Perry,Perry,214,1687,2398,2063,1525,1040,711
21191,Kentucky,Pendleton,Pendleton,261,164,205,172,95,89,88
21197,Kentucky,Powell,Powell,337,111,203,225,142,94,57
21195,Kentucky,Pike,Pike,332,2039,1652,1009,1187,564,390
6077,California,San Joaquin,San Joaquin,307,419,572,1527,7565,11684,15841
12087,Florida,Monroe,Monroe,5842,4315,2452,2536,3157,4770,4221
6075,California,San Francisco,San Francisco,1642,2414,3803,4846,43502,74383,95845
12085,Florida,Martin,Martin,fill,fill,1984,2239,2203,3392,4192
6073,California,San Diego,San Diego,684,1190,2886,4444,17030,39397,61730
12083,Florida,Marion,Marion,16376,12887,14513,13671,14589,18001,18060
6071,California,San Bernardino,San Bernardino,642,608,1302,1915,7048,17234,28883
12081,Florida,Manatee,Manatee,2346,5804,6820,6885,7903,10452,11441
2160,Alaska,Kuskokwim,Kuskokwim,fill,fill,fill,fill,fill,fill,61
6079,California,San Luis Obispo,San Luis Obispo,77,40,37,26,335,1431,2229
12089,Florida,Nassau,Nassau,5553,5029,3883,3634,4002,4287,4377
48169,Texas,Garza,Garza,36,5,78,151,242,321,301
17045,Illinois,Edgar,Edgar,312,298,258,231,124,101,33
17047,Illinois,Edwards,Edwards,86,78,65,51,21,17,0
36103,New York,Suffolk,Suffolk,2771,2814,5502,8701,13120,33035,54312
17041,Illinois,Douglas,Douglas,58,78,27,19,8,3,23
5139,Arkansas,Union,Union,13747,12355,17484,17821,15828,15034,13369
5137,Arkansas,Stone,Stone,94,15,15,12,4,0,5
5135,Arkansas,Sharp,Sharp,83,15,19,8,12,0,102
20137,Kansas,Norton,Norton,28,10,14,26,19,15,5
20135,Kansas,Ness,Ness,0,0,1,1,3,2,0
13207,Georgia,Monroe,Monroe,13656,12763,6750,6153,5350,5076,5091
36109,New York,Tompkins,Tompkins,533,497,706,714,999,1241,1780
13205,Georgia,Mitchell,Mitchell,11649,14067,11862,12264,11315,10020,9190
13201,Georgia,Miller,Miller,3257,3702,3083,3245,2686,2032,1841
30071,Montana,Phillips,Phillips,fill,10,4,6,12,3,7
13209,Georgia,Montgomery,Montgomery,7310,4348,4467,3880,3200,2545,2035
36065,New York,Oneida,Oneida,632,640,936,951,2417,4768,7873
48249,Texas,Jim Wells,Jim Wells,fill,68,234,365,401,389,320
48247,Texas,Jim Hogg,Jim Hogg,fill,13,20,33,13,3,0
48245,Texas,Jefferson,Jefferson,10676,19586,33022,33821,44122,57171,60896
48243,Texas,Jeff Davis,Jeff Davis,47,8,20,19,26,1,25
47187,Tennessee,Williamson,Williamson,7828,6546,5274,5625,5124,5051,4795
48241,Texas,Jasper,Jasper,4731,4982,5005,5041,5305,5496,5661
45015,South Carolina,Berkeley,Berkeley,18231,16349,15051,17555,19082,18920,16968
41047,Oregon,Marion,Marion,58,72,63,67,138,226,369
48025,Texas,Bee,Bee,568,518,531,519,470,536,563
41045,Oregon,Malheur,Malheur,14,7,5,7,12,74,102
45011,South Carolina,Barnwell,Barnwell,24647,15583,13465,12618,10650,7639,7067
41043,Oregon,Linn,Linn,2,9,6,7,37,14,84
45013,South Carolina,Beaufort,Beaufort,26376,17454,15571,14781,15504,16969,16848
29073,Missouri,Gasconade,Gasconade,41,53,43,8,9,2,5
40063,Oklahoma,Hughes,Hughes,1737,1746,2007,1939,1193,702,468
40061,Oklahoma,Haskell,Haskell,385,334,185,253,158,87,92
45019,South Carolina,Charleston,Charleston,56033,64236,54812,59573,68268,78488,77820
48029,Texas,Bexar,Bexar,11642,15580,19447,21202,32565,45314,56138
41049,Oregon,Morrow,Morrow,5,6,2,0,13,0,0
20007,Kansas,Barber,Barber,72,15,26,17,36,27,34
29089,Missouri,Howard,Howard,3152,2166,1937,1749,1274,1091,998
20005,Kansas,Atchison,Atchison,2992,1798,1777,1686,1428,1424,1185
46017,South Dakota,Buffalo,Buffalo,1,0,2,0,1,0,0
20003,Kansas,Anderson,Anderson,161,104,103,55,28,19,14
20001,Kansas,Allen,Allen,1047,684,527,513,331,303,225
29081,Missouri,Harrison,Harrison,28,30,4,14,4,1,5
29083,Missouri,Henry,Henry,842,669,519,369,249,238,224
29085,Missouri,Hickory,Hickory,7,0,0,0,0,0,0
20009,Kansas,Barton,Barton,388,396,497,479,529,587,454
29087,Missouri,Holt,Holt,118,78,36,31,9,2,9
24019,Maryland,Dorchester,Dorchester,9421,8719,7830,8086,7690,9013,9068
24015,Maryland,Cecil,Cecil,3315,2908,2595,2347,2606,2876,2813
24017,Maryland,Charles,Charles,8572,8210,7492,7228,8216,10835,13295
24011,Maryland,Caroline,Caroline,4787,4445,3677,3442,3452,3928,3970
24013,Maryland,Carroll,Carroll,2006,1734,1762,2078,2041,2175,2643
13113,Georgia,Fayette,Fayette,3815,4153,2838,2667,2544,2431,1954
37091,North Carolina,Hertford,Hertford,9098,9954,10303,11445,12860,13398,12980
13111,Georgia,Fannin,Fannin,162,88,72,74,66,44,25
47069,Tennessee,Hardeman,Hardeman,10098,9250,8532,8816,8720,8391,8612
13117,Georgia,Forsyth,Forsyth,1098,30,17,41,47,4,70
37095,North Carolina,Hyde,Hyde,3701,3266,3496,3242,2734,2435,2299
13115,Georgia,Floyd,Floyd,10482,9240,8615,8637,9273,9914,9625
12007,Florida,Bradford,Bradford,3987,3492,2730,2227,2800,2876,3412
40117,Oklahoma,Pawnee,Pawnee,806,470,686,558,366,214,181
37099,North Carolina,Jackson,Jackson,603,522,584,562,411,341,431
13119,Georgia,Franklin,Franklin,3974,4461,2672,2270,1807,1528,1539
36069,New York,Ontario,Ontario,365,308,293,326,467,960,1418
40113,Oklahoma,Osage,Osage,391,788,1284,988,794,689,864
40111,Oklahoma,Okmulgee,Okmulgee,5933,9791,11014,11066,7347,5965,5362
46019,South Dakota,Butte,Butte,0,1,0,0,0,0,20
54079,West Virginia,Putnam,Putnam,435,397,124,146,12,13,0
54043,West Virginia,Lincoln,Lincoln,30,61,42,0,33,3,11
54071,West Virginia,Pendleton,Pendleton,132,112,131,152,146,172,141
54073,West Virginia,Pleasants,Pleasants,9,7,0,0,3,8,28
54075,West Virginia,Pocahontas,Pocahontas,445,638,558,646,628,373,138
54077,West Virginia,Preston,Preston,151,147,92,68,124,100,56
1051,Alabama,Elmore,Elmore,13246,11944,14182,13616,11398,10301,9454
38039,North Dakota,Griggs,Griggs,15,4,11,7,2,0,0
1053,Alabama,Escambia,Escambia,5569,6293,8558,9865,10190,10960,10601
1055,Alabama,Etowah,Etowah,6804,7528,9944,10563,13514,14958,13079
1057,Alabama,Fayette,Fayette,1866,2481,2630,3066,2865,2573,2254
38033,North Dakota,Golden Valley,Golden Valley,fill,0,0,0,0,0,0
1059,Alabama,Franklin,Franklin,1842,1418,1419,1465,1335,1231,1203
38031,North Dakota,Foster,Foster,3,8,0,0,1,0,40
38037,North Dakota,Grant,Grant,fill,0,1,1,0,0,0
38035,North Dakota,Grand Forks,Grand Forks,60,30,19,9,10,287,1001
27029,Minnesota,Clearwater,Clearwater,0,0,1,5,2,0,0
51105,Virginia,Lee,Lee,952,671,533,645,407,167,100
51790,Virginia,Staunton City,Staunton City,2476,1774,1805,1641,2165,2201,2532
34019,New Jersey,Hunterdon,Hunterdon,438,359,407,586,883,1128,1223
30029,Montana,Flathead,Flathead,27,45,40,35,54,27,0
34011,New Jersey,Cumberland,Cumberland,2641,3094,4748,5388,8826,13028,16562
30025,Montana,Fallon,Fallon,fill,0,5,0,0,1,0
34013,New Jersey,Essex,Essex,18104,28956,60236,68776,104307,180737,279068
30027,Montana,Fergus,Fergus,64,97,22,23,20,12,5
34015,New Jersey,Gloucester,Gloucester,2375,3154,6077,6767,8684,12262,14407
30021,Montana,Dawson,Dawson,12,5,1,2,2,2,0
34017,New Jersey,Hudson,Hudson,7173,9351,15970,16147,23780,41327,61358
30023,Montana,Deer Lodge,Deer Lodge,130,110,113,77,88,102,106
54105,West Virginia,Wirt,Wirt,40,35,25,33,20,13,0
18027,Indiana,Daviess,Daviess,210,196,174,142,134,109,122
54107,West Virginia,Wood,Wood,943,783,893,756,661,643,646
18025,Indiana,Crawford,Crawford,0,3,4,3,3,0,0
54101,West Virginia,Webster,Webster,8,0,9,1,4,1,0
18023,Indiana,Clinton,Clinton,84,81,96,72,53,38,8
54103,West Virginia,Wetzel,Wetzel,57,89,53,29,33,5,0
18021,Indiana,Clay,Clay,227,291,323,318,218,189,109
54109,West Virginia,Wyoming,Wyoming,105,1590,1961,2543,2225,1279,467
18029,Indiana,Dearborn,Dearborn,180,122,168,204,189,236,201
38105,North Dakota,Williams,Williams,24,20,15,8,4,5,0
38103,North Dakota,Wells,Wells,3,0,2,0,0,3,3
51009,Virginia,Amherst,Amherst,7465,6840,5721,6179,5661,5217,5554
38101,North Dakota,Ward,Ward,67,68,76,34,51,310,1230
23029,Maine,Washington,Washington,59,33,25,16,19,20,57
28049,Mississippi,Hinds,Hinds,45407,35728,46559,55445,63888,74750,84026
29065,Missouri,Dent,Dent,18,3,0,0,1,1,0
29063,Missouri,DeKalb,De Kalb,64,76,38,19,10,0,0
29061,Missouri,Daviess,Daviess,258,161,119,90,55,30,5
28043,Mississippi,Grenada,Grenada,11161,8445,9987,11113,9823,9050,8690
23021,Maine,Piscataquis,Piscataquis,7,29,1,2,12,7,7
28041,Mississippi,Greene,Greene,1347,2655,2665,1984,1504,1923,1878
23023,Maine,Sagadahoc,Sagadahoc,103,94,57,286,14,121,75
28047,Mississippi,Harrison,Harrison,10643,7856,10016,10046,13367,19057,22731
23025,Maine,Somerset,Somerset,19,6,8,8,26,12,15
28045,Mississippi,Hancock,Hancock,4339,2688,2815,2351,2033,2246,2467
23027,Maine,Waldo,Waldo,15,16,16,4,13,18,38
47041,Tennessee,DeKalb,De Kalb,835,627,515,448,300,275,233
47043,Tennessee,Dickson,Dickson,3079,2347,1846,1785,1453,1365,1396
47045,Tennessee,Dyer,Dyer,5685,5432,5117,5118,4614,4359,3978
47047,Tennessee,Fayette,Fayette,22702,23526,21095,21977,19440,16927,13887
47049,Tennessee,Fentress,Fentress,98,42,53,0,2,2,0
51550,Virginia,Chesapeake City,Chesapeake City,fill,fill,fill,fill,fill,fill,20657
27043,Minnesota,Faribault,Faribault,9,14,5,0,4,5,4
27041,Minnesota,Douglas,Douglas,5,12,10,1,7,5,0
27047,Minnesota,Freeborn,Freeborn,7,10,15,11,5,2,91
27045,Minnesota,Fillmore,Fillmore,11,11,0,1,5,5,22
53049,Washington,Pacific,Pacific,3,16,2,9,13,15,13
27049,Minnesota,Goodhue,Goodhue,45,30,31,19,21,18,28
50001,Vermont,Addison,Addison,45,36,29,21,28,26,78
50003,Vermont,Bennington,Bennington,92,55,60,54,37,36,94
50005,Vermont,Caledonia,Caledonia,10,3,16,3,39,26,6
50007,Vermont,Chittenden,Chittenden,1114,175,156,114,95,215,182
50009,Vermont,Essex,Essex,5,2,2,1,2,7,0
55053,Wisconsin,Jackson,Jackson,2,16,8,0,14,6,21
55055,Wisconsin,Jefferson,Jefferson,22,11,7,5,37,20,45
55057,Wisconsin,Juneau,Juneau,13,4,13,13,23,8,64
31041,Nebraska,Custer,Custer,54,33,17,13,9,2,0
35013,New Mexico,Dona Ana,Dona Ana,fill,78,649,666,884,1375,1219
31043,Nebraska,Dakota,Dakota,12,20,77,114,128,142,32
35011,New Mexico,De Baca,De Baca,fill,0,0,0,1,3,0
31045,Nebraska,Dawes,Dawes,105,45,46,20,15,10,76
35017,New Mexico,Grant,Grant,fill,149,124,134,130,94,50
31047,Nebraska,Dawson,Dawson,11,13,13,7,34,12,9
35015,New Mexico,Eddy,Eddy,fill,89,239,494,1055,1047,923
31049,Nebraska,Deuel,Deuel,0,10,0,0,0,0,0
35019,New Mexico,Guadalupe,Guadalupe,fill,3,2,2,5,7,0
51680,Virginia,Lynchburg City,Lynchburg City,9466,8329,9653,10236,10473,11109,12526
47139,Tennessee,Polk,Polk,284,108,152,83,76,28,10
47135,Tennessee,Perry,Perry,633,355,239,237,200,191,152
47137,Tennessee,Pickett,Pickett,11,6,4,7,1,6,8
47131,Tennessee,Obion,Obion,5293,4103,4038,4102,3260,3204,2071
47133,Tennessee,Overton,Overton,299,201,136,116,83,77,73
19061,Iowa,Dubuque,Dubuque,96,75,89,65,92,83,165
39071,Ohio,Highland,Highland,1379,1157,912,913,766,862,735
19063,Iowa,Emmet,Emmet,19,42,8,0,6,1,14
39073,Ohio,Hocking,Hocking,143,129,115,83,95,154,52
19065,Iowa,Fayette,Fayette,107,106,104,71,29,39,56
39075,Ohio,Holmes,Holmes,8,6,0,0,3,7,13
19067,Iowa,Floyd,Floyd,17,30,9,4,10,1,0
39077,Ohio,Huron,Huron,284,238,438,391,504,534,577
19069,Iowa,Franklin,Franklin,10,13,11,13,4,3,0
39079,Ohio,Jackson,Jackson,708,478,375,305,247,247,180
28133,Mississippi,Sunflower,Sunflower,23281,34397,46646,43477,38025,30855,23261
28131,Mississippi,Stone,Stone,fill,2322,1424,1593,1363,1709,1864
28137,Mississippi,Tate,Tate,11535,11570,10628,11568,10364,10439,8760
28135,Mississippi,Tallahatchie,Tallahatchie,20180,25317,24204,22450,19355,15400,11632
28139,Mississippi,Tippah,Tippah,2801,2399,3151,3436,3390,2743,2581
19099,Iowa,Jasper,Jasper,182,144,99,54,50,40,44
51199,Virginia,York,York,3764,3445,2985,3222,3067,4667,4809
53021,Washington,Franklin,Franklin,19,19,9,28,998,1230,1291
40013,Oklahoma,Bryan,Bryan,2184,1829,1192,1222,629,549,583
51195,Virginia,Wise,Wise,2861,3810,3180,2812,2352,1228,779
51197,Virginia,Wythe,Wythe,2188,1743,1416,1361,1092,955,782
16049,Idaho,Idaho,Idaho,5,6,3,10,6,12,154
51191,Virginia,Washington,Washington,2312,1789,1457,1432,1196,947,786
51193,Virginia,Westmoreland,Westmoreland,4668,5042,3723,4497,4615,5166,5361
22081,Louisiana,Red River,Red River,6212,7589,7551,7987,6056,4746,3878
22083,Louisiana,Richland,Richland,10463,11996,13203,13057,10926,10561,8832
51750,Virginia,Radford City,Radford City,665,525,637,560,631,620,518
22085,Louisiana,Sabine,Sabine,4164,4364,5237,4760,4291,4380,3671
22087,Louisiana,St Bernard,St Bernard,1933,1597,1337,1405,1614,2339,2708
19095,Iowa,Iowa,Iowa,5,18,3,3,8,3,5
22089,Louisiana,St Charles,St Charles,6720,4347,4199,3909,4349,5733,7774
13013,Georgia,Barrow,Barrow,fill,3051,2068,2459,2350,2557,2873
16045,Idaho,Gem,Gem,fill,0,0,0,2,2,0
2280,Alaska,Wrangell-Petersburg,Wrangell-Petersburg,fill,fill,fill,fill,fill,fill,0
40015,Oklahoma,Caddo,Caddo,1178,845,1761,1372,1137,857,863
16043,Idaho,Fremont,Fremont,20,27,27,24,7,6,8
21059,Kentucky,Daviess,Daviess,5195,4533,3480,3507,2923,3107,3282
21053,Kentucky,Clinton,Clinton,94,65,55,52,47,30,40
21051,Kentucky,Clay,Clay,494,449,299,393,471,455,327
16041,Idaho,Franklin,Franklin,fill,1,0,1,2,1,0
21057,Kentucky,Cumberland,Cumberland,1024,915,798,780,574,478,441
21055,Kentucky,Crittenden,Crittenden,588,470,281,236,128,109,95
46031,South Dakota,Corson,Corson,3,11,2,1,3,6,43
21237,Kentucky,Wolfe,Wolfe,56,18,6,7,11,0,0
21235,Kentucky,Whitley,Whitley,1111,600,299,365,180,150,120
21233,Kentucky,Webster,Webster,2643,2922,3103,2696,1521,1137,933
21231,Kentucky,Wayne,Wayne,739,641,524,463,405,391,376
5039,Arkansas,Dallas,Dallas,4657,4938,5216,5331,4868,4186,3847
53045,Washington,Mason,Mason,6,3,1,1,13,5,89
5037,Arkansas,Cross,Cross,6127,7925,10991,10255,7971,5896,5476
53047,Washington,Okanogan,Okanogan,19,8,1,3,45,25,52
5035,Arkansas,Crittenden,Crittenden,19000,24650,31366,31799,31431,28019,22745
53041,Washington,Lewis,Lewis,79,103,58,40,42,26,42
5033,Arkansas,Crawford,Crawford,2063,1692,1099,902,664,534,477
21239,Kentucky,Woodford,Woodford,3724,3033,2206,2004,1673,1563,1542
5031,Arkansas,Craighead,Craighead,1328,2036,1741,1636,1549,1584,1641
17129,Illinois,Menard,Menard,107,71,49,43,39,14,22
13321,Georgia,Worth,Worth,9517,12548,9575,9977,9403,8040,5524
17123,Illinois,Marshall,Marshall,41,29,10,11,4,6,0
17121,Illinois,Marion,Marion,651,1054,1164,1231,1274,1344,1424
17127,Illinois,Massac,Massac,2584,2057,1719,1705,1182,1018,949
17125,Illinois,Mason,Mason,10,3,0,14,5,2,8
56019,Wyoming,Johnson,Johnson,2,8,2,2,2,0,0
13025,Georgia,Brantley,Brantley,fill,fill,1271,1144,783,773,589
26135,Michigan,Oscoda,Oscoda,4,0,0,0,0,1,4
6043,California,Mariposa,Mariposa,18,7,9,18,13,28,21
26137,Michigan,Otsego,Otsego,1,6,7,3,6,9,34
6041,California,Marin,Marin,145,101,290,514,3257,4070,4964
26131,Michigan,Ontonagon,Ontonagon,2,3,0,0,2,1,0
6047,California,Merced,Merced,75,48,443,884,2886,5056,5485
26133,Michigan,Osceola,Osceola,39,9,21,26,24,33,5
6045,California,Mendocino,Mendocino,31,55,49,102,178,201,299
2110,Alaska,Juneau,Juneau,fill,fill,fill,fill,fill,fill,111
6049,California,Modoc,Modoc,4,3,11,12,33,44,0
26139,Michigan,Ottawa,Ottawa,42,40,56,35,145,211,290
20125,Kansas,Montgomery,Montgomery,2966,2954,3871,3706,3581,2997,2709
20127,Kansas,Morris,Morris,317,247,239,148,81,62,44
20121,Kansas,Miami,Miami,873,581,794,710,794,717,660
20123,Kansas,Mitchell,Mitchell,46,27,24,20,32,12,19
20129,Kansas,Morton,Morton,20,19,17,3,5,3,0
17057,Illinois,Fulton,Fulton,248,168,124,116,84,130,105
5109,Arkansas,Pike,Pike,918,872,1122,668,488,336,384
17053,Illinois,Ford,Ford,87,96,47,29,37,55,46
12133,Florida,Washington,Washington,4965,2957,2574,2264,2118,2175,2308
5103,Arkansas,Ouachita,Ouachita,12333,10415,12987,14697,13509,12161,11109
5101,Arkansas,Newton,Newton,10,10,0,0,1,1,7
48187,Texas,Guadalupe,Guadalupe,5681,5259,4578,4135,3622,3296,3058
5107,Arkansas,Phillips,Phillips,26354,32929,27269,30626,27448,25308,21639
5105,Arkansas,Perry,Perry,910,678,454,409,244,157,153
13211,Georgia,Morgan,Morgan,13414,12886,7198,6777,6187,4920,4467
26037,Michigan,Clinton,Clinton,38,7,9,7,18,44,29
13215,Georgia,Muscogee,Muscogee,16747,16251,20667,25991,30692,37929,42807
13217,Georgia,Newton,Newton,9458,10180,6777,6422,6685,7248,8178
13219,Georgia,Oconee,Oconee,5162,4719,2401,2259,1822,1393,1272
27117,Minnesota,Pipestone,Pipestone,1,2,0,4,10,2,0
53035,Washington,Kitsap,Kitsap,43,169,104,118,1032,1243,1403
48259,Texas,Kendall,Kendall,253,136,66,72,60,40,27
2020,Alaska,Anchorage,Anchorage,fill,fill,fill,fill,fill,fill,5022
48251,Texas,Johnson,Johnson,1637,2121,1944,1550,1761,1668,1391
48253,Texas,Jones,Jones,259,568,863,1037,1333,1110,895
48255,Texas,Karnes,Karnes,793,1009,1003,974,659,424,406
48257,Texas,Kaufman,Kaufman,8374,12104,11511,10525,8905,8931,7945
45007,South Carolina,Anderson,Anderson,26335,26312,22594,23379,19291,19218,19043
41071,Oregon,Yamhill,Yamhill,6,8,2,1,21,22,85
48033,Texas,Borden,Borden,0,0,9,23,24,0,0
45003,South Carolina,Aiken,Aiken,22850,23988,21530,20921,19308,21310,21815
45001,South Carolina,Abbeville,Abbeville,22522,15436,11055,9741,7522,6851,6557
48039,Texas,Brazoria,Brazoria,6237,6574,7341,7135,6845,9073,10118
48349,Texas,Navarro,Navarro,10968,12100,15083,12728,9886,8531,6786
45009,South Carolina,Bamberg,Bamberg,12874,14355,12475,11304,10130,9085,8698
20011,Kansas,Bourbon,Bourbon,1215,939,835,821,661,582,446
20013,Kansas,Brown,Brown,457,450,381,291,173,138,100
20015,Kansas,Butler,Butler,149,262,309,259,201,203,213
20017,Kansas,Chase,Chase,103,90,57,51,40,51,39
20019,Kansas,Chautauqua,Chautauqua,118,143,136,87,52,55,31
19009,Iowa,Audubon,Audubon,5,0,0,0,0,2,3
48225,Texas,Houston,Houston,12548,10793,12374,11879,8918,7444,7277
37069,North Carolina,Franklin,Franklin,11564,11856,12941,13042,14293,12718,11177
13109,Georgia,Evans,Evans,fill,2412,2606,2493,2470,2583,2555
37065,North Carolina,Edgecombe,Edgecombe,19453,22343,27259,26664,26802,28096,24867
13105,Georgia,Elbert,Elbert,12082,10726,7535,7731,6225,6108,5509
37067,North Carolina,Forsyth,Forsyth,14027,26121,37182,41152,41402,45659,47634
13107,Georgia,Emanuel,Emanuel,9990,10951,9111,8311,6931,5900,5553
37061,North Carolina,Duplin,Duplin,9281,11116,12987,14160,15179,15142,12993
13101,Georgia,Echols,Echols,990,1046,845,1065,724,519,559
37063,North Carolina,Durham,Durham,12383,13168,23481,28527,33781,35862,43195
13103,Georgia,Effingham,Effingham,4278,4010,4154,4002,3464,3501,3258
13257,Georgia,Stephens,Stephens,2222,2316,2087,1856,2162,2555,2401
48221,Texas,Hood,Hood,212,171,109,83,30,50,13
29181,Missouri,Ripley,Ripley,5,2,0,0,2,2,0
38025,North Dakota,Dunn,Dunn,0,0,0,0,6,1,0
29183,Missouri,St Charles,St Charles,1718,1249,1063,1019,753,868,1163
38027,North Dakota,Eddy,Eddy,2,11,9,0,1,0,0
29185,Missouri,St Clair,St Clair,184,163,134,173,55,36,11
38021,North Dakota,Dickey,Dickey,6,4,3,1,1,1,0
29187,Missouri,St Francois,St Francois,556,281,236,215,182,167,142
29186,Missouri,Ste Genevieve,Ste Genevieve,386,298,342,205,142,70,39
29189,Missouri,St Louis,St Louis,4253,4729,9645,12309,16819,19007,45579
54063,West Virginia,Monroe,Monroe,673,559,547,599,468,346,493
54061,West Virginia,Monongalia,Monongalia,294,638,2331,1682,1427,1133,1146
38029,North Dakota,Emmons,Emmons,9,0,0,1,0,0,0
54065,West Virginia,Morgan,Morgan,177,159,178,201,147,126,106
1043,Alabama,Cullman,Cullman,533,443,441,581,476,514,521
1041,Alabama,Crenshaw,Crenshaw,7514,7115,7301,7778,6063,4639,3779
1047,Alabama,Dallas,Dallas,43511,42265,40867,40744,36538,32687,28892
1045,Alabama,Dale,Dale,5810,5031,5410,5239,4834,5473,6448
19007,Iowa,Appanoose,Appanoose,486,426,341,280,210,124,152
1049,Alabama,DeKalb,Dekalb,854,771,851,808,832,819,852
40075,Oklahoma,Kiowa,Kiowa,317,492,1407,963,703,741,647
17055,Illinois,Franklin,Franklin,19,175,125,111,59,34,27
40071,Oklahoma,Kay,Kay,109,293,985,982,905,821,787
40073,Oklahoma,Kingfisher,Kingfisher,2392,1623,1927,1756,1010,611,562
40079,Oklahoma,Le Flore,Le Flore,1781,2082,1633,1742,1212,1029,1053
30059,Montana,Meagher,Meagher,30,5,3,2,2,5,0
34009,New Jersey,Cape May,Cape May,1444,1560,2782,2618,2895,3902,4702
30051,Montana,Liberty,Liberty,fill,0,0,0,0,0,0
34003,New Jersey,Bergen,Bergen,3295,4136,8872,9733,10899,16269,25049
30053,Montana,Lincoln,Lincoln,1,3,0,9,3,3,5
17051,Illinois,Fayette,Fayette,19,10,64,134,132,411,247
30055,Montana,McCone,Mccone,fill,0,2,0,1,0,0
34007,New Jersey,Camden,Camden,9402,12107,16813,17933,22625,35297,51769
5043,Arkansas,Drew,Drew,11789,10788,9152,8224,6049,5154,4563
34005,New Jersey,Burlington,Burlington,3454,4493,6762,6987,10926,14280,28170
18013,Indiana,Brown,Brown,1,1,0,6,12,3,5
18011,Indiana,Boone,Boone,123,110,116,86,61,41,41
18017,Indiana,Cass,Cass,240,306,288,353,372,318,293
18015,Indiana,Carroll,Carroll,7,5,8,7,9,16,4
48383,Texas,Reagan,Reagan,2,0,64,43,141,262,170
18019,Indiana,Clark,Clark,2745,2298,1965,1803,2199,2821,3151
28055,Mississippi,Issaquena,Issaquena,9946,6915,4668,5204,3347,2399,1698
28057,Mississippi,Itawamba,Itawamba,1198,1074,1047,1053,935,872,914
28051,Mississippi,Holmes,Holmes,31197,26628,29399,30477,24467,19488,15743
28053,Mississippi,Humphreys,Humphreys,fill,15781,17032,19261,16066,13300,9460
28059,Mississippi,Jackson,Jackson,5467,4850,3850,4160,6727,10817,14231
48387,Texas,Red River,Red River,8673,8452,7442,6809,5230,3821,2951
29053,Missouri,Cooper,Cooper,2878,2404,2070,1827,1233,1196,1085
29051,Missouri,Cole,Cole,2157,2151,2233,2322,2976,3161,3041
29057,Missouri,Dade,Dade,235,167,119,120,76,66,48
29055,Missouri,Crawford,Crawford,35,13,15,15,6,4,13
29059,Missouri,Dallas,Dallas,2,2,2,0,1,0,29
17059,Illinois,Gallatin,Gallatin,606,378,226,202,136,84,23
37119,North Carolina,Mecklenburg,Mecklenburg,25481,26657,38023,43295,49923,66701,84219
18081,Indiana,Johnson,Johnson,360,402,311,294,301,370,1878
36015,New York,Chemung,Chemung,593,615,894,1192,1846,2560,3220
13213,Georgia,Murray,Murray,402,432,333,381,173,83,17
51560,Virginia,Clifton Forge City,Clifton Forge City,1092,1000,1175,1247,1049,1037,875
27079,Minnesota,Le Sueur,Le Sueur,23,5,6,1,8,0,10
27077,Minnesota,Lake Of The Woods,Lake Of The Woods,fill,fill,0,0,1,19,27
31185,Nebraska,York,York,28,25,24,24,33,27,49
27075,Minnesota,Lake,Lake,0,9,3,1,8,17,6
27073,Minnesota,Lac Qui Parle,Lac Qui Parle,5,1,0,0,0,0,30
31181,Nebraska,Webster,Webster,6,15,0,0,1,1,5
27071,Minnesota,Koochiching,Koochiching,10,12,15,23,15,3,0
31183,Nebraska,Wheeler,Wheeler,33,2,0,0,0,0,0
18089,Indiana,Lake,Lake,493,6918,23748,27253,50726,87109,112157
31053,Nebraska,Dodge,Dodge,56,51,58,32,11,14,48
31051,Nebraska,Dixon,Dixon,0,0,1,0,1,1,5
31057,Nebraska,Dundy,Dundy,8,1,0,0,0,0,0
35029,New Mexico,Luna,Luna,fill,4031,56,62,215,193,232
31055,Nebraska,Douglas,Douglas,5208,10341,11166,12077,16472,25269,34900
35027,New Mexico,Lincoln,Lincoln,fill,9,15,15,28,19,46
35025,New Mexico,Lea,Lea,fill,2,38,714,1700,2624,2571
31059,Nebraska,Fillmore,Fillmore,8,0,23,4,20,5,14
35023,New Mexico,Hidalgo,Hidalgo,fill,14,14,15,16,11,0
35021,New Mexico,Harding,Harding,fill,fill,0,2,3,1,0
55083,Wisconsin,Oconto,Oconto,2,1,1,3,2,0,4
55081,Wisconsin,Monroe,Monroe,36,28,21,30,55,53,100
55087,Wisconsin,Outagamie,Outagamie,28,19,4,5,14,3,61
55085,Wisconsin,Oneida,Oneida,3,10,3,4,10,7,18
