Year,Date,Event,Reference
,11/18/2015,"A joint congressional report investigating the *Iran-Contra affair* found 
that the ""ultimate responsibility for the events in the Iran-contra affair 
must rest with the President.""",[602][603]
,12/8/2015,"The Intermediate-Range Nuclear Forces Treaty was signed in Washington, D.C. 
between the U.S. and Soviet Union.",[604]
1988,5/14/2015,"*Carrollton bus collision*: A drunk driver crashed into a church bus near Carrollton, 
Kentucky, killing twenty-seven people.",[605]
,,"The *Yellowstone fires of 1988* burned 793,880 acres of Yellowstone 
National Park.",[606]
,8/8/2015,"Wrigley Field in Chicago, Illinois added lights for night games, being the 
last major league park that didn't have lights.",[607]
,8/10/2015,"The Civil Liberties Act, compensating Japanese Americans who ""lost liberty 
or property because of discriminatory action by the Federal government 
during World War II"", was signed into law.",[608]
,8/30/2015,*STS-41-D*: The Space Shuttle *Discovery* was launched.,[609]
,11/2/2015,"*Morris worm*, the first computer worm distributed via the Internet, was 
launched.",[610]
,11/8/2015,"*U.S. presidential election, 1988*: Vice President George H. W. Bush was 
elected President, defeating Massachusetts Governor Michael Dukakis.",[611]
1989,3/15/2015,The United States Department of Veterans Affairs was established.,[612]
,3/24/2015,"*Exxon Valdez oil spill*: An oil tanker struck a reef in Prince William 
Sound, spilling over 11 million gallons of crude oil in the Gulf of Alaska.",[613]
,5/31/2015,"Speaker of the House Jim Wright becomes the first House Speaker to resign 
amid scandal; he was succeeded by Tom Foley.",[614]
,"September
10-22","*Hurricane Hugo* struck the East Coast, killing 49 people and causing $7 
billion in damage.",[615][616]
,10/17/2015,"The *Loma Prieta earthquake*, striking the San Francisco Bay Area and 
interrupting the 1989 World Series, killed sixty-three people.",[617]
,12/3/2015,"*Malta Summit*: President Bush and Soviet Premier Gorbachev met in Malta 
weeks after the fall of the Berlin Wall, releasing statements indicating 
that the war may be coming to an end.",[618]
,12/20/2015,"*Operation Just Cause*: 26,000 U.S. military personnel were deployed in the 
U.S. invasion of Panama, removing Military Governor Manuel Noriega from 
power and restoring Panama's democratically elected government.",[619]
,,The *Office of National Drug Control Policy* was established.,[620]
1990,1/13/2015,"Douglas Wilder was elected Governor of Virginia, becoming the first African 
American to become governor of a U.S. State.",[621]
,4/24/2015,"The Hubble Space Telescope was launched during a mission of the Space 
Shuttle *Discovery*.",[622]
,6/1/2015,"The 1990 Chemical Weapons Accord was signed between the United States and 
the Soviet Union.",[623]
,7/26/2015,The Americans with Disabilities Act was signed into law.,[624]
,8/2/2015,"*Gulf War*: Iraqi President Saddam Hussein leads the deployment of 140,000 
Iraqi troops in the *invasion of Kuwait.*",[625]
,11/15/2015,The Clean Air Act of 1990 was signed into law.,[626]
1991,1/17/2015,"*Operation Desert Storm*: The United States leads 34 coalition nations in 
the invasion of Ba'athist Iraq; deploying over 500,000 U.S. military 
personnel in response to Iraq's annexation of Kuwait.",[627][628]
,2/28/2015,"President George H.W. Bush announces that a cease fire was reached between 
in the Gulf War, stating that ""Kuwait is liberated. Iraq's army is 
defeated.""",[629]
,7/31/2015,*START I* was signed between the United States and the Soviet Union.,[630]
,12/26/2015,"The dissolution of the Soviet Union, recognizing the independence of twelve 
Soviets states after the resignation of Soviet President Mikhail Gorbachev, 
who declared his office extinct, formally ended the Cold War.","[631]"
,,"Confirmation hearings of Supreme Court nominee Clarence Thomas were held by 
the Senate Judiciary Committee, after allegations regarding sexual 
harassment charges were pressed by former aide Anita Hill.",[633]
1992,"April 29–
May 4","*1992 Los Angeles riots*: Riots in Los Angeles, spurred by the acquittal of 
four Los Angeles Police Department officers accused in the beating of Rodney 
King, took place, which resulted in over fifty deaths and $1 billion in 
damage.",[634]
,5/7/2015,"The Twenty-seventh Amendment to the United States Constitution, prohibiting 
changes to Congressmen's salaries from taking effect until after an 
election of Representatives, was ratified.",[635]
,August 16–28,"*Hurricane Andrew*: A Category 5 hurricane killed sixty-five people and 
caused $26 billion in damage to Florida and other areas of the Gulf Coast.",[636][637]
,11/3/2015,"*United States presidential election, 1992*: Arkansas Governor Bill Clinton 
was elected President, defeating incumbent George H. W. Bush and Texas 
businessman Ross Perot.",[638]
1993,1/3/2015,START II was signed between the United States and the Russian Federation.,[639]
,"February 13–
April 19","*Waco siege*: After the ATF failed to raid the compound of members of the 
religious sect the Branch Davidians, the FBI prompted a 51-day standoff; 
resulting in the deaths of 72 Branch Davidians after a fire broke out in 
the compound.",[640][641]
,2/26/2015,"*1993 World Trade Center bombing*: A truck bomb exploded in the parking 
garage under the World Trade Center in Manhattan, killing six people and 
injuring 1,042 others.",[642][643]
,October 3–4,"*Battle of Mogadishu*: 18 U.S. military personnel, as a part of Operation 
Gothic Serpent, were killed and 84 wounded after a seventeen-hour assault 
was prompted by Somali militiamen.",[644]
,11/30/2015,"The Don't ask, don't tell policy, prohibiting openly gay and bisexual 
people from serving in the military, was signed into law.",[645]
,,The Brady Handgun Violence Prevention Act was signed into law.,[646]
,12/8/2015,The North American Free Trade Agreement was signed by the United States.,[647]
,,"*Great Flood of 1993*: Massive flooding along the Mississippi and Missouri 
Rivers killed 48 people and caused $30.2 billion in damage; being the 
costliest flood in U.S. history.",[648]
1994,1/17/2015,"The 1994 Northridge earthquake, striking the Northridge, Los Angeles area, 
killed fifty-seven people and leaving 20,000 others homeless; causing $20 
billion in damage and being the costliest earthquake in U.S. history.",[649]
,9/19/2015,"The Violent Crime Control and Law Enforcement Act, authorizing the Federal 
Assault Weapons Ban and the Violence Against Women Act, was signed into law.",[650][651][652]
,11/8/2015,"*Republican Revolution*: The Republican Party picked up 54 seats in the 
House and 8 seats in the Senate, being one of the largest shifts in party 
balance in U.S. congressional history.",[653]
1995,4/19/2015,*Oklahoma City bombing*: A bombing killed 168 and wounded eight hundred.,
,July 14–20,"The *1995 Chicago heat wave* killed 739 people in Chicago, Illinois.",[654][655]
,10/3/2015,"Retired professional football player O. J. Simpson was acquitted of two 
charges of first-degree murder in the 1994 slayings of his ex-wife, Nicole 
Brown Simpson, and Ronald Goldman.",
,,"*United States federal government shutdown of 1995 and 1996*: A budget 
crisis caused the federal government to partially shut down.",
1996,,"*TWA Flight 800*: A flight exploded off Long Island, killing all 230 aboard.",
,,"*Khobar Towers bombing*: A bombing left nineteen American servicemen dead 
in Saudi Arabia.",
,,"*Centennial Olympic Park bombing*: A bombing in Atlanta killed one and 
injured 111.",
,8/22/2015,"The Welfare Reform Act of 1996, replacing the AFDC with TANF, was signed 
into law.",[656][657]
,,"*U.S. presidential election, 1996*: Clinton was reelected.",
,,"*United States federal government shutdown of 1995 and 1996*: The shutdown 
ended.",
1997,,Clinton allowed student funding for any research on human cloning.,
,,"Sparked by a global economic crisis scare, the Dow Jones Industrial Average 
followed world markets and plummeted 554.26, or 7.18%, to 7,161.15.",
1998,,"Former Arkansas state employee Paula Jones accused Clinton of sexual 
harassment.",
,,"*Lewinsky scandal*: Clinton was accused of having a sexual relationship 
with 22-year-old White House intern, Monica Lewinsky.",
,,"*1998 U.S. embassy bombings*: 224 were killed in bombings in Tanzania and 
Kenya.",
,,"Gay college student Matthew Shepard was brutally murdered near the University 
of Wyoming.",
1999,,Dennis Hastert of Illinois becomes Speaker of the House of Representatives.,
,,"The Dow Jones Industrial Average closed at 10,006.78.",
,4/20/2015,"Two teenage students murdered 13 other students and teachers at Columbine 
High School.",
,,"*1999 Oklahoma tornado outbreak*: A violent tornado outbreak in Oklahoma 
killed fifty people and produced a tornado which caused $1 billion in 
damage.",
,,"*EgyptAir Flight 990*: The first officer deliberately crashed a plane south 
of Nantucket, Massachusetts, killing 217.",
,,"Along with the rest of the world, the United States prepared for the 
possible effects of the Y2K bug in computers, which was feared destined to 
cause computers to become inoperable and wreak havoc.",
2000,,"*USS Cole bombing*: The USS *Cole* was bombed in Yemeni waters, killing 
seventeen United States Navy sailors.",
